State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,Total_Crimes,Safety_Score
ANDHRA PRADESH,2001,871,765,420,3544,2271,5791,7,13669,73.83723155839681
ARUNACHAL PRADESH,2001,33,55,0,78,3,11,0,180,99.65547601730276
ASSAM,2001,817,1070,59,850,4,1248,0,4048,92.2520384335643
BIHAR,2001,888,518,859,562,21,1558,83,4489,91.40795467595605
CHHATTISGARH,2001,959,171,70,1763,161,840,0,3964,92.41281629215634
GOA,2001,12,6,2,17,7,11,0,55,99.89472878306474
GUJARAT,2001,286,857,67,756,111,3667,0,5744,89.00585690770585
HARYANA,2001,398,297,285,478,401,1513,0,3372,93.54591739080504
HIMACHAL PRADESH,2001,124,105,10,310,14,317,0,880,98.31566052903571
JAMMU & KASHMIR,2001,169,504,13,622,288,50,0,1646,96.84951958044635
JHARKHAND,2001,567,279,217,297,5,484,2,1851,96.45714504459671
KARNATAKA,2001,293,271,220,1665,81,1755,0,4285,91.79841518967959
KERALA,2001,562,97,27,1942,81,2561,0,5270,89.91310339547525
MADHYA PRADESH,2001,2851,668,609,7063,751,2562,0,14504,72.23902308310684
MAHARASHTRA,2001,1302,611,308,2823,1120,6090,1,12255,76.54365884469624
MANIPUR,2001,20,62,0,21,0,5,0,108,99.79328561038166
MEGHALAYA,2001,26,11,0,25,0,4,0,66,99.87367453967768
MIZORAM,2001,52,1,0,52,0,16,3,124,99.76266125636413
NAGALAND,2001,17,6,0,6,0,0,0,29,99.94449335834322
ODISHA,2001,790,434,294,1655,458,1266,0,4897,90.62703364850898
PUNJAB,2001,298,324,159,372,47,1128,0,2328,95.54415649044903
RAJASTHAN,2001,1049,2165,376,2878,56,5532,1,12057,76.92263522566321
SIKKIM,2001,8,2,0,0,14,0,0,24,99.9540634689737
TAMIL NADU,2001,423,607,191,1773,1012,815,14,4835,90.74570302032691
TRIPURA,2001,102,35,16,58,0,227,0,438,99.16165830877004
UTTAR PRADESH,2001,1958,2879,2211,2870,2575,7365,0,19858,61.99134861999004
UTTARAKHAND,2001,74,126,56,103,84,301,0,744,98.57596753818474
WEST BENGAL,2001,709,695,265,954,48,3859,3,6533,87.4956934502163
A & N ISLANDS,2001,3,2,0,19,1,9,0,34,99.93492324771275
CHANDIGARH,2001,18,50,3,24,15,36,0,146,99.72055276959001
D & N HAVELI,2001,6,2,0,7,0,4,0,19,99.96363357960418
DAMAN & DIU,2001,0,3,0,0,0,4,0,7,99.98660184511733
LAKSHADWEEP,2001,0,0,0,0,0,0,0,0,100.0
PUDUCHERRY,2001,9,3,1,35,27,3,0,78,99.85070627416452
ANDHRA PRADESH,2002,1002,854,449,3799,2024,7018,0,15146,71.01022087815335
